seq,title,genre,text,reviewer,rate,like,comment
12,이터널스,2021 ? 판타지/액션/모험 ? 미국,"성숙해진 마블, &lt;엔드게임&gt;때 보다 더욱 더.
우겨넣은 진지함과 감정선, 개연성이 다소 낯설고 삐그덕 거릴수도 있지만
이런 마블의 가족에 대한 노골적 고찰은 첨인지라 진중함만이 남는다.
마블 영화가 꼭 가볍지는 않다만을 넘어서 누군가는 원했던 바를 보여준다.",.....,3.5,135,3
13,이터널스,2021 ? 판타지/액션/모험 ? 미국,라민 자와디의 음악이 흐르며 롭 스타크와 존 스노우가 '세르시'를 부르는 영화가 있다?!,권상호,3.5,135,7
14,이터널스,2021 ? 판타지/액션/모험 ? 미국,"이 또한 또 하나의 어벤져스다. 마동석, 졸리, 배리 키오건, 쿠마일 등 기존에 익숙한 캐릭터들을 고스란히 녹여 낸 캐릭터 어벤져스. 킬링 디어의 키오건을 고스란히 따온 듯 한 데 스윗함에도 섬찟함이 아직까지 남아있다. 마동석의 ""야 숨셔, 숨""도 떠오르고.

어느 부분에서 혹평을 받아야 하는지 의아한 수작이다. 캐릭터의 등장부터 마무리까지 어느 마블 영화보다 깔끔하다. 긴 상영시간 허투로 쓴 장면 없이 많은 캐릭터들의 서사를 부여하는데 성공했다. 테나는 좀 아쉽지만.

억지 다양성, 어줍짢은 가족주의도 보이지 않는다. 모호한 선악의 구분 속에 그들의 고민이, 클로이 자오 감독의 고민이 돋보인다. 화면, 음악도 훌륭하며 사실 마블 영화에서 CG에 대한 이야기는 많이 나오지 않는데 그만큼 자연스럽기 때문일 것. 액션씬 마저 만족스럽다. 이과의 승리?",서영욱,4,122,2
15,이터널스,2021 ? 판타지/액션/모험 ? 미국,???:'상큼하게 터져볼래?',???? june_,보고싶어요,117,2
16,이터널스,2021 ? 판타지/액션/모험 ? 미국,#NAME?,송부귀영화,3,115,1
17,이터널스,2021 ? 판타지/액션/모험 ? 미국,관람 후 평 보며 든 생각 : 나만 볼만했나??,"꽃,,",3.5,105,5
18,이터널스,2021 ? 판타지/액션/모험 ? 미국,"주어진 믿음을 배반하고 스스로 쌓은 삶만 믿겠단  결정에 무게를 싣는 일은, 힘깨나 쓰는 이에게도 만만치 않다. 생명, 기억, 의지 다 갖고도 나풀대지 않고 사는 게 어디 보통 일이던가. 사랑하면 지킨다는 인간다움을 빌려 일단은 밝혀보는 새벽.",Camellia,3,105,6
19,이터널스,2021 ? 판타지/액션/모험 ? 미국,"동양철학의 영감이 중요한 히어로 블록버스터지만. 마블에게 기대한 것과는 이상한,
심오한듯하지만 이미지만 떠다니는 작품",리얼리스트,2.5,93,0
20,이터널스,2021 ? 판타지/액션/모험 ? 미국,이영화가 뜨면 마동석은 대박난다!!!,죠블리,보고싶어요,90,2
21,이터널스,2021 ? 판타지/액션/모험 ? 미국,"기존 세계관의 대체 역사를 무시하고 역사를 편협한 시선으로 바라보는 잘못된 각본과 각색. 그럼에도 일부 매력적인 캐릭터들 때문에 이 작품을 더이상 재밌게 볼 수 없게 된 것이 참으로 안타깝고 각본가의 태도가 역겹기 그지없다. 그리고 그걸 지적 한 번 안하고 바로 컨펌한 클로이 자오 감독에게도 크게 실망했다.

+매력적이었던 캐릭터들: 세르시, 파스토스, 마카리, 킨고, 드루이그, 길가매쉬",batman2830,2.5,89,8
22,이터널스,2021 ? 판타지/액션/모험 ? 미국,"[009]
볼거리 없고, 지루한 데다 ‘데인(킷 해링턴)’ 외 매력적인 인물도 없고, 중국 무협영화를 재연한 것 같은 시각효과와 액션 등 마블에 기대한 모든 것을 여지 없이 부서준다. 연출은 최악이고, 감독의 음악 취향이 유치하고 고루해 상영시간 내내 갑갑한 것은 덤!
-
2021-11-03(수) CGV 상봉 1관 부모님과

[관람 전]
마동석 배우는 외계인으로 출연하나요? ??",나쁜피,1,89,3
