seq,title,genre,text,reviewer,rate,like,comment
236,이터널스,2021 ? 판타지/액션/모험 ? 미국,"다인종과 종교, 정체성 같은걸 버무리고 자라지 않는 스프라이트 같은 캐릭터와 이터널스들로 뭔가 표현하려고 했지만 그냥 잡탕임…

가족과 연결을 강조하지만 실제로는 자기 정체성부터 중요한 결정까지 뭐하나 확실하게 못하는 결정 장애들이 이해안되는 논리로 다투고 서로 개싸우는 중.

제일 간단하게는 가족들 때문에 인간 편을 들고 싶어하는 파스토스도 첨에 이터널스랑 같이 셀레스티얼 막으러 안간다고 하는데, 가족 지키려면 막으러 가야하는거 아님…? 수십억 생명의 탄생을 지키겠다는건지 인간들을 지키겠다는건지도 모르겠고, 결말도 어이 없다. 이카리스는 너무 미안한 나머지 죽어버렸다.
제 발 저려 넣은 슈퍼맨 개그는 재미가 없었다.

데비안츠는 왜 등장해서 여럿 빨아먹고 빛났다 사라져 버리는지 알 수 없다. 셀레스티얼의 아이들은 부모 닮아서 공감과 연대는 1도 할 줄 모르는지 누가봐도 데비안츠는 이터널스를 죽여서 복수할게 아니고 목적을 같이해야할 사이인것 같은데 서로 의미없는 싸움이나 하고 앉았다. 하긴 이터널스끼리도 서로 못잡아먹어서 안달이고 연결은 막판에 유니마인드로 연결(물리)되어서 지들끼리 우리 하나가 되었었엉…! 하는게 전부다.

수박 겉핥기식으로 다양성을 존중하는 우리, 우리는 모두 하나를 외치면서 뒤에서는 서로 차별 지리게 하는 현세계를 묘사했다면 백 점임. 우리도 지구(물리)적으로는 연결되어있지 암.

물론 인간들의 확고한 믿음은 종교전쟁과 세계대전 등으로 수많은 피가 흐르게 하는 원인이 되었고, 심지어 마블 세계관 내에서도 시빌워라는 대립으로 보여지기도 했음. 그래서 반대로 확고한 믿음이 깨져버린 이터널스가 자신의 선택에 확실한 믿음은 갖지 못해도 소신은 지키려고 하는 모습으로 자기의 정체성을 찾아가는 스토리로 만들어 졌을 수도 있다. 그런데 영화를 못만드는 바람에 이 스토리와 캐릭터에 몰입이 안된다. 그래서 무슨 말을 하려는지는 알겠는데 별로 받아주고 싶지가 않다. 영화가 제일 짜증나는 순간이 제대로 못만들어 놓고 대단한 교훈을 숨겨놓은 것처럼 굴 때다.

에로스가 쿠키에 나오는데 이터널스가 매력이 없어서 1도 기대 안되고 세르시 현남친 쪽이 기대됨
마동석이랑 bts끌어다 쓰면서 히로시마가 기술의 참극으로 그려지는 것도 쫌 빡침 그 기술력에 먼저 침략당한 국가들이 있을텐데…? 물론 그 모든 일의 엔딩에 히로시마가 있긴 했지만 어쨌든 짜증나는건 짜증나는거다.

생각보다 액션 비율이 적었고 서로 가네마네 하네마네하다가 과거회상하면서 시간을 다 잡아먹는데 막상 들여다보면 중요한 내용은 별로 없고 유니마인드가 가능한 이유는 대사 한 줄로 퉁친다. 이정도 스케일과 품이 들어갈 필요가 없는 것 같은데 쓸데없이 장소랑 시간 이동만 해대서 거의 걸어서 세계속으로 였다. 재미없진 않았는데 확연하게 별로였음.",무눈,2,9,0
237,이터널스,2021 ? 판타지/액션/모험 ? 미국,"결함이 많다고 인간적인 걸까.
사랑과 가족, 성장, 연민, 질투 모든 걸 담았지만",김은중,2,9,0
238,이터널스,2021 ? 판타지/액션/모험 ? 미국,"MCU 역대 가장 이질적인 작품.
아예 독립된 작품으로 봐도 괜찮을 정도.
비주얼은 감탄스럽고 졸리와 마블리 등등 캐릭터들은 매력적이나 이를 연결시키는 드라마가 약하다.
(몇몇은 캐릭터도 좀..)",CK,3.5,9,0
239,이터널스,2021 ? 판타지/액션/모험 ? 미국,"새로운환경
새로운분위기..",최고의띵곡렛잇고,5,9,0
240,이터널스,2021 ? 판타지/액션/모험 ? 미국,히어로물이 미주알고주알 할 말도 많다,SalmON,2.5,8,0
241,이터널스,2021 ? 판타지/액션/모험 ? 미국,"“페이즈 4의 진정한 시작을 알리는 세계관의 확장”

클로이 자오 감독의 색이 진하게 드러나는 이 작품이 호불호가 많이 갈리는 것은 이해가 된다. 그러나 오히려 이런 결이 취향에 맞았다. 뛰어난 영상미와 여럿이 등장하는 캐릭터들의 적절한 비중 분배에 따른 개성이 모두 살아있어 매력적이다. 특히 베리 케오간의 드루이그는 특유의 분위기로 장악하고 흡입한다.

기존의 구도와는 다른 양상으로 히어로와는 사실 거리가 멀고, 인간이 아닌 그들이 어떻게 보면 가장 인간적인 모습을 보인다. 단순히 빌런을 상대하는 히어로들의 구도에서 벗어나 초월적 존재의 가치와 개별의 내재적 가치에 대한 물음으로 저울질한다. 셀레스티얼이라는 초월적 존재와 이터널스라는 단순한 피조물, 그러나 결국 모두 인간에게는 초월적 모습이기에 그들의 갈등이 더욱 흥미롭게 다가온다. 몰랐던 신화를 접했을 때의 즐거움과 같다. 실존적 물음에서 안으로 들어왔고, &lt;로키&gt;에서는 자유의지를 택했다. 인피니티 사가를 지나고 소강 상태에서 앞으로의 마블 역시 기대할 수 밖에 없게 만들었다. &lt;이터널스&gt;가 정말 새로운 시작이다.",홀든 콜필드,4,8,0
242,이터널스,2021 ? 판타지/액션/모험 ? 미국,세계관과 다양한 캐릭터. 설명할것 투성이인 이야기적 압박속에서  그래도 이정도면 만족스러운 시작인 것 같다.,너와마주친느낌,4,8,0
243,이터널스,2021 ? 판타지/액션/모험 ? 미국,앞으로 마블의 밥줄이될 이야기의 서막으로 보자면 나쁘진 않았다.,이송원,4,8,0
244,이터널스,2021 ? 판타지/액션/모험 ? 미국,"히어로무비 특유의 장르적쾌감도적고
주연인 이터널스들이 딱히 매력적으로
느껴지지도 않는 와중에
풍경만 멋들어지게 찍으면서
뭔가 대단한척만하는영화
그나마 마카리와 드루이그같은
호감캐는 후속작에도 나오길 기대해본다",JIGSAW,3,8,0
245,이터널스,2021 ? 판타지/액션/모험 ? 미국,요즘은 잘나가는거 까줘야 힙스터 되나 봄 ㅋㅋ,해리 케인,4,8,0
246,이터널스,2021 ? 판타지/액션/모험 ? 미국,수세기 후의 인류는 MCU 이야기를 신화나 종교적 설화로 받아들여 연구할 수도 있다.,Jang,3.5,8,0
247,이터널스,2021 ? 판타지/액션/모험 ? 미국,원년 멤버들이 사라진 곳에서 시작되는 새로운 이야기에 대한 낯가림인지 페이즈4에 대한 의구심인지 모를 혼란스러운 감정을 샹치에 이어 이터널스에서도 고스란히 느끼는 중이지만 일단은 따라가 볼게요…..,박은혜,3,8,0
248,이터널스,2021 ? 판타지/액션/모험 ? 미국,"클로이 자네가 보여준 마블식의 인간찬가

어벤져스 만의 대영웅 활극은 아니었지만 새로운 영웅들의 새로운 서사가 될 초석이 될 수 있는 MCU의 또 다른 숙제",DwLEE,3,8,0
249,이터널스,2021 ? 판타지/액션/모험 ? 미국,"마블식 소수자 몰아주기, 끊임없는 지구인 모에화, 잊을만 하면 등작하는 럽라, 사랑만 남은 남녀 펠로우쉽, 은유없는 적나라한 서사 풀어내기, 곳곳에서 등장하는 설명충 모먼트… 소비자 기만이라고요… ??",HYuN,0.5,8,0
250,이터널스,2021 ? 판타지/액션/모험 ? 미국,"지구인류 좀 그만 구하면 안될까?
너무 뻔해서 이제는 그만 구원당하고 싶다.",아지,2,8,0
251,이터널스,2021 ? 판타지/액션/모험 ? 미국,뭐야? 어벤져스보다 내 취향; 원더우먼과 엑스맨에 가까운 느낌이랄까. 마블의 새로운 시작,모모,5,8,0
252,이터널스,2021 ? 판타지/액션/모험 ? 미국,몰입도 안되고 너무 유치하고..상업적인 느낌 너무 강하고..작품성이 너무 떨어져요,김호윤,0.5,8,0
253,이터널스,2021 ? 판타지/액션/모험 ? 미국,"뭐 이런 개떡같은 영화가 다 있지?
음주하고 봐서 기억이나 감상 정확하진 않다
그래도 티켓값이 얼만데 싶어 최대한 집중해보려고 두시간 반을 내내 꼼짝없이 앉아서 꾸역꾸역 보았으나..

1) 영화가 아니라 '영상물'
클로이 자오의 전작 노매드랜드를 보지 않았지만 대충 자연경관을 잘 담아낸 다큐멘터리 같은 기법을 추구한다는 뒷배경 정도는 알고 갔다.
결론은 이 감독 성향 자체가 마블 같은 팝콘무비에는 전혀 걸맞지 않다.
그냥 다큐멘터리 느낌인데 이제 웬 영웅들이 나오는..
직설적으로 꼬집자면 전혀 '생동감 있는 이야기'처럼 보이지 않았다.

2) 메인 캐릭터들의 매력 부재
서사가 부실하고 설득력이 없으니 당연히 캐릭터에 몰입되는 정도도 턱없이 낮을 수밖에. 특히 젬마첸은 연기도 못 한다. 리처드 매든은 그나마 자기 행동에 이유가 확실한 캐릭터 같아 보이는데, 워낙 영화가 과거와 현재를 정신없이 불친절하게 드나들기 때문에 그의 캐릭터 이카리스 역시 딱히 와닿지 않았다. 다른 캐릭터들은 더더욱 보잘 것 없고..

외에 웃으라고 넣은 장면들도 생각보다 꽤 되는데, 이 감독이 정말 웃음의 의미를 알긴 하는지 의문이다. 아니 정말 웃은 장면도 한두 개 있지만... 기본적인 서사 호흡에 전혀 몰입되지 않는 영화에서 갑자기 웃으라고 강요한다면 그저 헛웃음만 나오지 않겠나?
이 영화는 그냥 실패작이다. 것도 아주 처참하게 실패했다. 내 만사천원이 너무너무 아까움ㅠㅠ",규리,0.5,8,1
254,이터널스,2021 ? 판타지/액션/모험 ? 미국,"내가 이거 왜 4.5점 주고 있는지 진짜 진심 모르겠는데;; 신화 처돌이라 어쩔 수가 없음...;; 불호평 이해하고 분명 부족한 부분도 많은데,,캐릭터들 서사+간지액션 내가 너무 조아해; 재믺네,,,아 당황스러..

'앞으로 더욱 확장될 마블의 범우주적 세계관 속에서, 그래도 우리의 중심은 이거라고 말하는'",알라숭아,4.5,8,0
255,이터널스,2021 ? 판타지/액션/모험 ? 미국,"6개의LED로부터 비롯된
인류의 사랑 가치 부여에대한 긴 질문",낡은호출기,3,8,1
256,이터널스,2021 ? 판타지/액션/모험 ? 미국,"듄은 호불호가 갈렸는데,
이건 그냥 영화가 갈렸다.",Ver Sacrum,2,8,0
257,이터널스,2021 ? 판타지/액션/모험 ? 미국,드루이그가 내 탈덕을 막는구나 오케이~ 알았다 가보자고,bokki,2,8,1
258,이터널스,2021 ? 판타지/액션/모험 ? 미국,"그저 마블 영화가 아닌
다른 하나의 영화 '이터널스'",bluestar,5,8,0
259,이터널스,2021 ? 판타지/액션/모험 ? 미국,PC고 뭐고 치우고 비주얼적으로나 잔잔한 개그나 나름 잼있게 봤는데 너무 이야기가 길고 이래서 나중에 감당될까 생각이듬.,grizzly_bear.81,3.5,8,0
260,이터널스,2021 ? 판타지/액션/모험 ? 미국,"암, 치솟은 기대치를 낮추는데엔 데면데면한 첫인사만한게 없지.",마스커,2.5,8,0
261,이터널스,2021 ? 판타지/액션/모험 ? 미국,마블은 죽었다.,조재영,0.5,8,0
262,이터널스,2021 ? 판타지/액션/모험 ? 미국,그야말로 야심작이지만 곳곳이 부실하다. 하고 싶은 얘기가 너무 많아 결국 어느것도 온전히 전달되지 못한 케이스같다. 이것저것 내용이 많아서인지 러닝타임은 그다지 길게 느껴지지 않았다. 오히려 뭔가 아쉬운 느낌…,김재원,3,8,0
263,이터널스,2021 ? 판타지/액션/모험 ? 미국,선악과를 따먹은 닝겐들의 에반게리온ㅋㅋㅋ,CineVet,3.5,8,0
264,이터널스,2021 ? 판타지/액션/모험 ? 미국,신격과 인격 그 사이에 존재하는 고독함,삼락,4,8,0
265,이터널스,2021 ? 판타지/액션/모험 ? 미국,"너무나 거대한 진실 앞에 여태까지 믿어왔던 것들이 흔들리는 사건 이후로, (열 명이나 되는) 캐릭터들의 관계 변화, 갈등, 성장을 다루는 솜씨가 인상적이다. 그녀의 커리어에서 보여준 '사건의 여파로 인물의 내면을 깊게 내비치는 연출'이 잘 드러난 부분이다. 그리고 마블의 지금까지 필모그래피 중에서 우주 전체를 다루는 거대한 세계관에다가 모든 인물들의 감정선들을 깊게 보여준 이야기이기에, 긴 시간과 무거운 마음이 요구된다. 그렇지만, 엔드게임이 10년을 총집합한 것과 비교하면, 단편으로 만들어낸 점에서 괄목할 만한 성취임에 틀림없다. 개인으로서는 두드러진 도전이자 전체로서는 흥미로운 모험을 통한 힘찬 도약.",한상현,4.5,8,0
266,이터널스,2021 ? 판타지/액션/모험 ? 미국,길가메시를 한국인 배우로 캐스팅해놓고 우주에서 온 히어로한테 화장과 유골모습까지 보여줌 ㅋㅋㅋㅋ 이것만 해도 뭐지 싶은데 바로 이어지는 장면이 히로시마 원폭이라니 감독이 혐한인가 하는 합리적 의심이 들 수 밖에 없는거임,디디,1.5,8,0
267,이터널스,2021 ? 판타지/액션/모험 ? 미국,"단순하지만 무거운 철학적 질문을 던지고, 다소 싱겁고 조잡하게 답을 내놓는다. 그러나 다양성과 매력을 가진 캐릭터들과 세계관의 확장은 고평가할만 하다.",이태훈,3.5,8,0
268,이터널스,2021 ? 판타지/액션/모험 ? 미국,마블의 창세기,미드나잇인파리,4.5,8,0
269,이터널스,2021 ? 판타지/액션/모험 ? 미국,"의외로 마블 색깔이 잘 살아있어서 흥미롭지만 길긴 깁니다.
영화는 인피니티 사가 후반부에서 초월적인 존재들이 하나둘 나타나면서 보여주기 시작했던 막강한 힘의 충돌과 발휘를 여태껏 가장 깔끔한 액션 연출로 보여줍니다.
거기다 마블 특유의 말장난과 웃음 호흡도 여전하고요. 그리고 첫 번째 영화에서 항상 해왔던 이야기와 비슷한 구조의 이야기를 보여줍니다.
그런데 이 정성들인 이야기의 그 정성스런 부분들이 길게 느껴지는 것도 사실입니다. 딱히 못 만들거나 불필요한 장면도 아닌데도요.
어쩌면 영화 한 편에 기대한 분량보다 너무 많은 이야기가 담겨 있어서 그런 걸지도 모르겠습니다. 게다가 마블 특유의 마지막에 후다닥 악당 치워버리기도 여전한 탓에 더욱 그렇게 느껴지기도 하고요.
그래도 어쨌든 인피니티 사가의 유산을 이어가면서도 새로운 이야기를 마련한다는 외적인 목적은 달성하긴 했습니다. 마블 유니버스라는 전체를 위해 희생된 것처럼 보이는 배경과 인물들이 막상 영화가 다루는 이야기와는 정반대라는 게 서글프긴 하지만요.",천지민,3.5,7,0
270,이터널스,2021 ? 판타지/액션/모험 ? 미국,"마블딱지 떼고 독자적인 세계관의 문을 열다.

클래식 마블팬들에겐 눈엣가시겠지만 마블의 반복되는 '흥행공식'에 염증을 느낀 팬들에겐 한 줄기 빛 같은 작품. 기존 마블의 히어로들이 아예 등장하지 않고 거론만 된 점, 코즈믹 호러와 고대 신화를 적절히 섞은 매력적인 설정들이 너무 맘에 들었지만 문제의 히로시마 장면은 반감을 넘어 역겨울 지경.

클로이 자오가 다음 편도 맡으면 좋겠지만 문제적 각본가는 절대로 재활용하지 않길.",Gary 초이,3.5,7,0
271,이터널스,2021 ? 판타지/액션/모험 ? 미국,"마블스럽지 않다.
그리고 완벽하진 않지만 만족스럽다.

10명이나 되는 영웅들의 이야기라는 말에 현혹되어 모두가 주인공이라고 생각하면 오산이다.
영웅들 사이에도 주조연이 나뉘어져 있다.
그렇게 볼 때 많은 가능성을 후속으로 남겨두기도 했고, 그 가능성들을 취사선택할 수 있도록 열어두었다.

이런 점들은 드라마적으로 풀어지는 설정과 사건들로 설명된다.

몸의 대결을 넓혀 가치의 대결로 이어지는 특징은 타노스에 이어 다시 (나름)철학적인 고민을 하게 한다.
그리고 그러한 이야기를 드라마로서도 흥미롭게 풀어간다.

이야기의 스케일을 확장한만큼 비쥬얼로 보여주는 스케일감도 꽤 훌륭하다. 시각적으로 인간이 범접하기 어려운 넓고 큰 이야기라는 점을 설명한다.

다 만족스럽진 않다. 돌로 때린다거나 이랬다저랬다 한다거나 설명과 다른듯한 약한 모습들은 분명 아쉽다.

그렇지만 마블에 기대하는게 정형화 되어가는 듯한 지금은 이렇게 다른 마블도 충분히 즐겁다.",정진환,4,7,0
272,이터널스,2021 ? 판타지/액션/모험 ? 미국,배리 키오건 눈길을 잡아끄는 묘한 얼굴을 가진 배우,Yelin Lee,2,7,0
273,이터널스,2021 ? 판타지/액션/모험 ? 미국,신화와 전설의 마블판 해석,조현우,3,7,0
274,이터널스,2021 ? 판타지/액션/모험 ? 미국,나는 마블 영화를 “교훈”을 얻기 위해 보지 않는다.,S_R_Park,2.5,7,0
275,이터널스,2021 ? 판타지/액션/모험 ? 미국,"클로이 자오
진실의 방으로.",존맥클레인,2.5,7,0
276,이터널스,2021 ? 판타지/액션/모험 ? 미국,"왜 이렇게 다들 재미없다고 지루하다고 하는지 이해가 안된다. 넓어진 세계관은 아주 흥미롭고 열명이 넘는 새 인물들의 캐릭터성은 인상적으로 다가온다. 마블영화 그 어느때보다 다음 편을 기대하게 만든다.
길고 지루하다기보다 오히려 러닝타임이 너무 짧다. 인물 인물들의 드라마를 긴 시간을 들여 좀 더 자세하게 봤으면 좋았을 것 같다.",DH,4,7,0
277,이터널스,2021 ? 판타지/액션/모험 ? 미국,"좋은 점 : 타노스로 인해 미뤄진 이머전스
인류의 반이 죽었다가 아이언맨의 희생으로 다시 살아난 이야기를 이은건 좋다 이야기라인중 가장 또렷이 기억남
캐릭터 각각이 기억남

별로인 점 : 촌스런 연출, 이 인물이 이래서 이렇다는 널뛰는 감정서사

개별로인점 : 히로시마. 007도 그렇고 존윅4 걱정되는 게 프랜차이즈에서 자꾸 소금에 절이지도 않은 배추로 겉절이를 만들고 김치라 우기니 짜증. 지들 생각 우기려면 프랜차이즈말고 지들 영화에서나 만들길

기대되는 점 : 마블에 언젠가 그들이 카메오로 나오길 (삽입곡은 타이밍이 영 ㅋㅋㅋ 감독 팬심으로 넣은듯)",봄날,2,7,0
278,이터널스,2021 ? 판타지/액션/모험 ? 미국,"인간을 사랑하게된 평이한 수호자들의 이야기
(장점은 역대 MCU 영화중 가장 독창적인 것,
단점은 장점이 있음에도 영화를 비추하고픈 것.
그래픽노블에 가까운 작품을 토씨없이 구현하려는 자세가 감독의 서정적이고 느린 템포와 제대로 어긋났다.)",김정현,2.5,7,0
279,이터널스,2021 ? 판타지/액션/모험 ? 미국,돌아다니는 소문만큼 최악은 아니지만 차라리 디즈니 플러스를 활용했으면 어땠을까하는 아쉬움,김영도,3,7,0
280,이터널스,2021 ? 판타지/액션/모험 ? 미국,다양성도 좋지만.. 오행산에서 쓰러짐.,이윤형,2,7,0
281,이터널스,2021 ? 판타지/액션/모험 ? 미국,"왜 이렇게 혹평받지...

캐릭터들 간 관계성 좋고
각각 성격이나 능력도 개성있어서 좋았음
선과 악 구도를 주로 가져간 기존의 마블영화들과 달리 거시적 관점의 절대자 캐릭터를 등장시킴으로서 새로운 방면의 갈등을 그려내는 것도 좋았다
인류를 가장 사랑해서 리더가 된 세르시도 불안해보이지만 고뇌하는 인물이라서 너무 좋았다!!! 그게 심지어 동양인 여성이라는 것도 너무 좋고",빈혜,4,7,0
282,이터널스,2021 ? 판타지/액션/모험 ? 미국,그럭저럭 코스믹 세계관의 초입을 잘 소개한,느낌의 공동체,3,7,0
283,이터널스,2021 ? 판타지/액션/모험 ? 미국,"기존의 페이즈와는 확실히 다를거라는 선언.
한 편의 완성도는 더할나위 없었지만
시리즈를 끌고 갈 캐릭터의 매력이 부족한 건 조금 아쉽다
그 와중에 드루이그가 캐리했다 (심지어 키오건이 잘생겨보임",지연,3,7,0
284,이터널스,2021 ? 판타지/액션/모험 ? 미국,"매력 없는 인물들과 그들의 형편 없는 능력. 절망스러울 정도의 구닥다리 서사, 최악의 전개, 전혀 궁금해지지 않는 뒷 이야기.
이게 한 그릇에 담겼다고...?",전민철,1.5,7,0
285,이터널스,2021 ? 판타지/액션/모험 ? 미국,"처음으로 마블의
다음 작품의 기대를 멈추게 되었다
어디하나 크게 모난건 없지만
그렇다고 크게 와닫지도
캐릭터의 매력또한 없었다

부디 다음 작품에 반전이 깃들기를.",찐뷰,2.5,7,0
286,이터널스,2021 ? 판타지/액션/모험 ? 미국,"내가 마블 영화를 본 게 맞는지 모르겠다?? 액션이 좀 나왔다가 대서사시도 나왔다가, 약간 웃겼다가, 심오한 메시지도 섞여 있는데 결론적으론 ‘재미도 감동도 없었다’",KMK,1.5,7,0
287,이터널스,2021 ? 판타지/액션/모험 ? 미국,"리처드 매든 갈수록 잘생겨지네
왕겜 배우들 반가웠음",함니,3,7,0
288,이터널스,2021 ? 판타지/액션/모험 ? 미국,재미와 감성 둘 다 놓친 어정쩡한 영화,소녀매향,2.5,7,0
289,이터널스,2021 ? 판타지/액션/모험 ? 미국,"독립영화 찍던 감독이 뭐에 꽂혀서 마블본사 찾아가 피티까지 했나 궁금했는데 영화보니 잘 알겠다.

속편 나오면 지금 욕하는 사람들도 보러 갈만큼 캐릭터들 모두 정성스럽게도 담았네",라이스버거,4.5,7,0
290,이터널스,2021 ? 판타지/액션/모험 ? 미국,"마블이 마블 같지 않아서 좋은데, 또 마블 같지 않아서 심심하네",비노,3,7,0
291,이터널스,2021 ? 판타지/액션/모험 ? 미국,음 벡터맨2는 별로 보고싶지 않은걸,재니니,2.5,7,0
292,이터널스,2021 ? 판타지/액션/모험 ? 미국,'마블이 이정도면 되었지!' 하기엔 너무 흩날리기를 해버렸다.,로이아나준,2.5,7,0
293,이터널스,2021 ? 판타지/액션/모험 ? 미국,믿음 소망 사랑 중 제일은 사랑이다...,조아이,3,7,0
294,이터널스,2021 ? 판타지/액션/모험 ? 미국,"부족한 연출과 엉성한 디렉팅이 만들어낸 배우들의 처참한 연기는 논외로 치자. 너무 많은 캐릭터가 등장하다보니 자연스럽게 각 캐릭터에 대한 서브플롯이 부재해 영화 전개상 보여지는 캐릭터들의 상황 감정 변화를 공감할 수가 없다. 강약조절을 통해 비중을 조절해야 했지만 그놈의 pc때문에 그조차도 할 수 없었다. 소위 다양성 확보를 위해 성적 인종적 신체적 소수자들을 등장시켰기에 누구 하나에 힘줬다가는 특정 정체성에 대한 차별이라 의식했는지 이도저도 아니게 되버렸다. 우주적 스케일을 표현하겠답시고 쓸데없이 장황하다 보니, 일반인 입장에서 씹덕들이 애니 세계관 설명하는 것을 듣는 것처럼 지루하게만 느껴진다. 아울러 작품의 문제의식인 인간의 추한 모습도 있지만 또한 선하고 아름다운 면도 있기에 희망을 가지고 또 자연의 섭리에 순응하기보단 인간적 기지를 발휘해 자연을 이용해 인간의 번영을 우선하자라는 주제는 그 자체로 의의가 있을 순 있다. 그러나 정체성 챙기기에 급급한 나머지 이터널스들의 인간의 그러한 면모를 보고 느낄만한 장면이 거의 없었다. 단지 구해준 후 파티에서 즐겁게 지냈다는 몇분 정도 컷으로 이것을 퉁치기에 메인 플롯에 대한 빌드업이란 관점에서 용납이 될 수가 없다. 블랙위도우도 굉장히 단순하고 평면적이었다고 생각했는데 다시보니 선녀였다. 역시 마블은 어벤져스에서 그냥 끝내야 했다.",이호중,2,7,0
295,이터널스,2021 ? 판타지/액션/모험 ? 미국,"영화 보면서 가끔씩 읭?스러운 부분이 있었는데 액션 몰입감 있고 각자 캐릭터들이 매력 있었음 근데 지루한 부분도 있음
+히로시마 부분도 논란 있어서 걱정했는데 왜 욕먹는지 이해 안된다고 생각했는데 각본가 입턴거 보고 히로시마는 욕 처먹어도 된다고 생각함
+마동석은 보는내내 길가매쉬가 아니라 마동석 같아서 집중 안됨",모멘텀,3.5,7,0
296,이터널스,2021 ? 판타지/액션/모험 ? 미국,알고보니 타노스가 지구를 구했다는...ㅋㅋ,이예성,5,7,0
297,이터널스,2021 ? 판타지/액션/모험 ? 미국,"기대 이상의 수준높은 딜레마 범벅
클리셰속에서도 빛나는 신선한 설정들.
신화와 동화, 전설들이 기분좋게 뒤섞여 있더라.",김우빈,4,7,0
298,이터널스,2021 ? 판타지/액션/모험 ? 미국,"분명히 150분인데 시간이 모자라보인다. 감독이 열정이 넘쳐 할 얘기가 많았던 것 같은데 이것저것 얘기하다가 벅찼는지 뒤로 갈수록 마구잡이로 때려 넣어 아주 잡탕밥을 만들어놨다.
마블 영화의 새로운 시선이라기엔 실패한 구간이 너무나도 많다.",김현무,1.5,7,0
299,이터널스,2021 ? 판타지/액션/모험 ? 미국,"마블빠로써 팬심으로 어떻게든 보려 했는데 정말 너무하네 히어로들의 능력치는 왜 이리 초라하며 (단독으로 댐빌땐 데비안츠를 열두방 쏴도 디지지 않고 오히려 데비안츠가 히어로 몇대 패면 디짐 7000년이나 살았다며 이건 헛산 정도가 아니잖냐)
왜 졸리의 정신병(?)은 마블리 죽기전에 도져서 죽게 냅두더니 정말 위험(?)할땐 또 정상으로 잘만 싸우는지.. 마블 맞는건지.. 엑스맨과 디씨의 조합 아닌지.. 마인드 컨트롤은 싸울때 필요한 이유가 뭔지.. 수백년 살아왔다매 어쩜 그리 30년 산 인간만큼의 능력치인지.. (화산으로 달려가는 최강의 주인공.. 진짜 인간의 달음박질임)
거기다 그놈의!!!!! 그놈의 마블 쿠키!!!!!!!! 2개나 있대서 기다렸더니 다음편이 1도 궁금해지지 않는 쿠키!!!!!!!
나한테 왜 이랬어요.. 대체 왜.. 마블.. 제발..",당근,0.5,7,1
300,이터널스,2021 ? 판타지/액션/모험 ? 미국,"매력적인 것과 그 반대의 것이 뒤섞여 있다. 언젠가 인류의 기원을 알고 싶었던 적이 있었으나, 내게 그 방식은 이런 것이 아니었다. 원대한 것에 대한 염원이 담겨있지만, 자꾸 소소했던 과거를 찾게 된다. 킬링 디어의 선봉장과 지금껏 수많은 캐릭터에 존재감을 부여해온 여신이 이 자리를 지탱한다. 지금 이 시대에 인류애를 이야기 한다는 것을 적절하게 여기는 사람도, 혹은 의아하게 여기는 사람도 있을 것이다. 나는 아이러니하다고 생각한다. 정작 자기가 살고 있는 세계는 혼란만 가득한데 사랑이 해결책이라 말할 수 있나 싶었다. 영화가 따라갈 수 없는 현실,  그 안에서 돌아온다고 하는 그들을 찾을 이유 무엇일까. 아마도 개봉날 바로 찾아보겠지만, 그게 예전의 설렘과는 다를 것 같았다. 마블, 돌아올 수 없는 강을 건넌 느낌이다. 그저 예전 영화나 뒤적거려야지. 그 편이 훨씬 행복할 것 같았다.",임돌선,3,7,0
301,이터널스,2021 ? 판타지/액션/모험 ? 미국,"하다하다 이젠 마블 어그로에 당하다니.. 한국에서 마동석으로 관심끌더니 히로시마 똥을 뿌리냐

긴 러닝타임에도 버거울 정도로 많은 뉴캐릭터들이 등장해 중구난방으로 이야기가 진행되다 얼렁뚱땅 끝! 나는 줄 알았더니 아직 안 끝났다며 마무리ㅋㅋㅋㅋ 이게 DC가 아니라 정말 마블이 맞나 싶다.. 이터널스로 버린 눈 어벤져스로 헹궈야겠다",율율,2,7,1
302,이터널스,2021 ? 판타지/액션/모험 ? 미국,"샹치에 이어 전세계 문화권을 포섭하는 새로운 마블을 만들겠다는 의지가 보인다.
+
오래간만에 영화관에서 팝콘과 함께 보았다! 아주 만족스럽다.",김예지,3.5,7,0
303,이터널스,2021 ? 판타지/액션/모험 ? 미국,"보는 내내 내 사지가 뒤틀리는 지루함과
고루한 피씨",mue,0.5,7,0
304,이터널스,2021 ? 판타지/액션/모험 ? 미국,"의도하지않고 정말 우연히 개봉날 누구보다 빠르게 봐버린 이터널스~
별 기대없이 봤는데 고대신화&amp;외계인 미스테리 음모론 좋아하는 나에게 안성맞춤인 소재들로 이루어진 내용??
시빌워때부터 깡깡거리며 폭력적인 마블영화 비판(?)했는데
이번엔 아주 만족??
물론 아쉬운 점도 있지만 그래도 만족??
앞으로의 마블이 기대됩니다??",우현정,5,7,1
